dataset_id,dataset_name,sub_dataset,file_path,raw_filename,std_name,raw_label,fault_code,coarse_fault_code,fault_label,component,split,test_eligible,is_variable_speed,n_channels,fs_raw,fs_target,speed_rpm,load_nm,severity_code,condition_str,condition_desc,rep,file_format
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-1.mat,B-A-1.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-2.mat,B-A-2.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-3.mat,B-A-3.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-1.mat,B-B-1.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-2.mat,B-B-2.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-3.mat,B-B-3.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-1.mat,B-C-1.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-2.mat,B-C-2.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-3.mat,B-C-3.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-1.mat,B-D-1.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-2.mat,B-D-2.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-3.mat,B-D-3.mat,,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-1.mat,C-A-1.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-2.mat,C-A-2.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-3.mat,C-A-3.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-1.mat,C-B-1.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-2.mat,C-B-2.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-3.mat,C-B-3.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_B,Condition B (speed profile 2),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-C-1.mat,C-C-1.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-C-2.mat,C-C-2.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-C-3.mat,C-C-3.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_C,Condition C (speed profile 3),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-D-1.mat,C-D-1.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-D-2.mat,C-D-2.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-D-3.mat,C-D-3.mat,,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,,,True,1,200000,10000,,,NA,cond_D,Condition D (speed profile 4),3,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/H-A-1.mat,H-A-1.mat,,H,NOR,NOR,Normal,any,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),1,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/H-A-2.mat,H-A-2.mat,,H,NOR,NOR,Normal,any,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),2,mat
1,D1_BearingTV,bearing,data/raw/dataset_1/H-A-3.mat,H-A-3.mat,,H,NOR,NOR,Normal,any,,,True,1,200000,10000,,,NA,cond_A,Condition A (speed profile 1),3,mat
