filename,raw_name,fault,condition,trial,filename_pattern_valid,channel_1_2_correlation
B-A-1.mat,B-A-1,B,A,1,True,-5.06021630378905e-05
B-A-2.mat,B-A-2,B,A,2,True,-0.0001521346186330167
B-A-3.mat,B-A-3,B,A,3,True,-7.1575768819853096e-06
B-B-1.mat,B-B-1,B,B,1,True,0.0004933844731093617
B-B-2.mat,B-B-2,B,B,2,True,0.00022025029766681444
B-B-3.mat,B-B-3,B,B,3,True,-0.0002342928104459761
B-C-1.mat,B-C-1,B,C,1,True,9.0807577093505e-05
B-C-2.mat,B-C-2,B,C,2,True,0.00028035112347203525
B-C-3.mat,B-C-3,B,C,3,True,0.00016686209046484462
B-D-1.mat,B-D-1,B,D,1,True,-0.00014238132059061725
B-D-2.mat,B-D-2,B,D,2,True,-5.6245733469361454e-05
B-D-3.mat,B-D-3,B,D,3,True,0.0003185985496730483
C-A-1.mat,C-A-1,C,A,1,True,0.00045401357878029595
C-A-2.mat,C-A-2,C,A,2,True,-0.0002765172897129604
C-A-3.mat,C-A-3,C,A,3,True,-0.00020279424997212927
C-B-1.mat,C-B-1,C,B,1,True,0.00021644703706911214
C-B-2.mat,C-B-2,C,B,2,True,0.000325677265865498
C-B-3.mat,C-B-3,C,B,3,True,-0.00016002782195069536
C-C-1.mat,C-C-1,C,C,1,True,-0.00030230302296174657
C-C-2.mat,C-C-2,C,C,2,True,0.00023353796310362365
C-C-3.mat,C-C-3,C,C,3,True,5.13111765620287e-05
C-D-1.mat,C-D-1,C,D,1,True,-0.00014640608872804108
C-D-2.mat,C-D-2,C,D,2,True,4.430135290474809e-05
C-D-3.mat,C-D-3,C,D,3,True,-3.945389288187676e-05
H-A-1.mat,H-A-1,H,A,1,True,0.0004167338161303358
H-A-2.mat,H-A-2,H,A,2,True,-9.405663633487357e-06
H-A-3.mat,H-A-3,H,A,3,True,-0.00044734359693496294
H-B-1.mat,H-B-1,H,B,1,True,0.0004139756015580933
H-B-2.mat,H-B-2,H,B,2,True,-0.0002725437675677401
H-B-3.mat,H-B-3,H,B,3,True,0.00026449324465790594
H-C-1.mat,H-C-1,H,C,1,True,0.0002423683233389281
H-C-2.mat,H-C-2,H,C,2,True,0.0003798529804182566
H-C-3.mat,H-C-3,H,C,3,True,0.0003198668231290723
H-D-1.mat,H-D-1,H,D,1,True,0.00015727099537095915
H-D-2.mat,H-D-2,H,D,2,True,0.0004946727680834391
H-D-3.mat,H-D-3,H,D,3,True,0.00023438953192352302
I-A-1.mat,I-A-1,I,A,1,True,0.002497784802040559
I-A-2.mat,I-A-2,I,A,2,True,-0.00040554483359022927
I-A-3.mat,I-A-3,I,A,3,True,-6.72466286498934e-05
I-B-1.mat,I-B-1,I,B,1,True,0.000333850328259004
I-B-2.mat,I-B-2,I,B,2,True,-8.221011969043534e-05
I-B-3.mat,I-B-3,I,B,3,True,0.00011541197372204087
I-C-1.mat,I-C-1,I,C,1,True,0.0003973486273616005
I-C-2.mat,I-C-2,I,C,2,True,-8.408191083140247e-06
I-C-3.mat,I-C-3,I,C,3,True,-0.00022255188766363414
I-D-1.mat,I-D-1,I,D,1,True,8.140785946647133e-05
I-D-2.mat,I-D-2,I,D,2,True,-2.9524139254818828e-05
I-D-3.mat,I-D-3,I,D,3,True,-0.00011010993966124919
O-A-1.mat,O-A-1,O,A,1,True,-0.00033082282342228455
O-A-2.mat,O-A-2,O,A,2,True,-0.00029191059051166055
O-A-3.mat,O-A-3,O,A,3,True,0.00040837062111204127
O-B-1.mat,O-B-1,O,B,1,True,-0.0001756779276225824
O-B-2.mat,O-B-2,O,B,2,True,0.00033231751686577517
O-B-3.mat,O-B-3,O,B,3,True,-0.0001805633789258927
O-C-1.mat,O-C-1,O,C,1,True,-0.0004573125286230098
O-C-2.mat,O-C-2,O,C,2,True,-0.00015351709972398597
O-C-3.mat,O-C-3,O,C,3,True,-0.00014828742552895353
O-D-1.mat,O-D-1,O,D,1,True,0.0005455663085684623
O-D-2.mat,O-D-2,O,D,2,True,0.0004342236623944261
O-D-3.mat,O-D-3,O,D,3,True,-4.494697763185079e-06
