filename,file_path,file_size_mb,channel,channel_idx,raw_name,fault,coarse_fault,fault_label,condition,split,n_channels_catalog,n_channels_loaded,original_length,sampled_length,sampled_for_stats,length,missing_count,finite_count,mean,std,min,max,median,rms,peak_to_peak,skewness,kurtosis,max_abs,crest_factor
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,449.5,Channel_1,0,B1_20,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd20hz,,4,4,14729216,2000000,True,2000000,0,2000000,0.48012081884205343,26.9441319231461,-523.4510887935758,422.89910127967596,0.535778783261776,26.94840924976067,946.3501900732517,0.11131020762659512,8.528085670720465,523.4510887935758,19.424192498420833
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,449.5,Channel_2,1,B1_20,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd20hz,,4,4,14729216,2000000,True,2000000,0,2000000,-0.2503378663550913,9.131602950218124,-126.9643282070756,126.63677077740431,-0.31636662036180496,9.135033743110288,253.6010989844799,0.013107481833589734,5.659957377872667,126.9643282070756,13.898616226002783
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,449.5,Channel_3,2,B1_20,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd20hz,,4,4,14729216,2000000,True,2000000,0,2000000,-391.1365496665563,3925.4762885513915,-3155.5743542686105,9994.756519787014,-1868.3427832499146,3944.9146876027953,13150.330874055624,2.265692532359841,3.1365515787818703,9994.756519787014,2.5335798898760276
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,449.5,Channel_4,3,B1_20,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd20hz,,4,4,14729216,2000000,True,2000000,0,2000000,0.1811195520145446,0.43628955031532357,-8.285050250589848,8.804795168340206,0.2598724588751793,0.4723905839835255,17.089845418930054,-0.0031546068581003906,63.123527008509356,8.804795168340206,18.638803284544874
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,443.0,Channel_1,0,B1_25,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd25hz,,4,4,14516224,2000000,True,2000000,0,2000000,0.14401269275727868,38.85694485586306,-626.2953371182084,601.4269507452846,-0.0745728388428688,38.85721172687582,1227.722287863493,0.1740556572884206,8.251194498067065,626.2953371182084,16.117866138218755
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,443.0,Channel_2,1,B1_25,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd25hz,,4,4,14516224,2000000,True,2000000,0,2000000,-0.6606116490966678,14.546954071376986,-177.6235128417611,148.91460498422384,-0.6215424314141273,14.561946315849186,326.53811782598495,-0.06635126928001871,3.54595000294783,177.6235128417611,12.197786545088148
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,443.0,Channel_3,2,B1_25,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd25hz,,4,4,14516224,2000000,True,2000000,0,2000000,-389.35480465002854,3859.763831382721,-3091.792609758675,9994.756519787014,-1819.514653481543,3879.3522652569573,13086.549129545689,2.316051642838316,3.367979279659023,9994.756519787014,2.5763982841411255
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,443.0,Channel_4,3,B1_25,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd25hz,,4,4,14516224,2000000,True,2000000,0,2000000,0.07901321880103648,0.45377990188643424,-8.59022606164217,8.804795168340206,-0.0453033521771431,0.4606075206739056,17.395021229982376,-0.023286514771766527,68.0965508728648,8.804795168340206,19.115613126459785
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,443.0,Channel_1,0,B1_30,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd30hz,,4,4,14516224,2000000,True,2000000,0,2000000,0.05392494592253864,54.286496731495916,-750.1967164054513,798.8757004961371,-0.0745728388428688,54.286523514390865,1549.0724169015884,0.137456993054888,8.744067787230113,798.8757004961371,14.715911957124359
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,443.0,Channel_2,1,B1_30,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd30hz,,4,4,14516224,2000000,True,2000000,0,2000000,-0.8641596426072121,17.978564733564944,-247.20359776169062,200.184141241014,-1.2318940535187721,17.999321147390418,447.3877390027046,0.07626175538549926,3.8912390345631707,247.20359776169062,13.734051175453956
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,443.0,Channel_3,2,B1_30,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd30hz,,4,4,14516224,2000000,True,2000000,0,2000000,-379.5197429595928,3722.7006333999348,-2963.008417494595,9994.756519787014,-1712.7031196132302,3741.996157295246,12957.764937281609,2.42460452242339,3.883660830899574,9994.756519787014,2.670969209923328
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,443.0,Channel_4,3,B1_30,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd30hz,,4,4,14516224,2000000,True,2000000,0,2000000,0.025958251461684703,0.4728753186007503,-8.59022606164217,8.804795168340206,-0.0453033521771431,0.47358726520115496,17.395021229982376,-0.11270266663418266,72.88624146085749,8.804795168340206,18.591705933225192
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,441.5,Channel_1,0,B1_35,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd35hz,,4,4,14467072,2000000,True,2000000,0,2000000,-0.16726373534588515,73.01872156947655,-875.9291505590081,783.9220857545733,-0.6849244609475136,73.01891314445804,1659.8512363135815,0.12205996218424492,5.974861225799788,875.9291505590081,11.995921506337691
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,441.5,Channel_2,1,B1_35,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd35hz,,4,4,14467072,2000000,True,2000000,0,2000000,-1.019344441697523,23.31835530673555,-324.7182537689805,264.88141318410635,-1.2318940535187721,23.340624612507316,589.5996669530869,0.010238330520839355,3.5348495214150155,324.7182537689805,13.912149274487575
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,441.5,Channel_3,2,B1_35,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd35hz,,4,4,14467072,2000000,True,2000000,0,2000000,-368.65212287974754,3599.638296907595,-2863.521103091538,9994.756519787014,-1617.793442375958,3618.466561441125,12858.277622878551,2.527676529358665,4.395298841093007,9994.756519787014,2.7621525168402843
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,441.5,Channel_4,3,B1_35,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd35hz,,4,4,14467072,2000000,True,2000000,0,2000000,-0.016884159948706626,0.49093046827552,-8.59022606164217,8.804795168340206,-0.0453033521771431,0.4912207238486533,17.395021229982376,-0.07733157691165068,73.52286473828714,8.804795168340206,17.924315365515792
B1_40.MAT,data/raw/dataset_2/broken/1/B1_40.MAT,443.0,Channel_1,0,B1_40,GBX_BT,GBX_TOOTH_DAMAGE,Gear_Broken_Tooth,sensor1_spd40hz,,4,4,14516224,2000000,True,2000000,0,2000000,-0.21736460083425044,92.56930992919607,-939.4057192578912,892.8698503002524,-0.990100271999836,92.56956512881139,1832.2755695581436,0.10260153244420181,4.78735052294996,939.4057192578912,10.148105567425963
