filename,fault,condition,trial,PC1,PC2
B-A-1.mat,B,A,1,-1.8423301814731314,-0.024059039216948644
B-A-2.mat,B,A,2,-1.6053537094797496,-0.11022753390181113
B-A-3.mat,B,A,3,-1.9205801417642359,0.020377935880494098
B-B-1.mat,B,B,1,-1.7454665607982764,-0.04648105966112929
B-B-2.mat,B,B,2,-1.92023574770268,-0.023583830697160194
B-B-3.mat,B,B,3,-1.508192858845641,-0.02686917537541907
B-C-1.mat,B,C,1,-1.913349372694214,-0.002909029310886908
B-C-2.mat,B,C,2,-0.9055279912638184,-0.43881108786943346
B-C-3.mat,B,C,3,-1.8015922943570282,-0.08683176658819877
B-D-1.mat,B,D,1,0.12420858214039576,-0.8125927030179927
B-D-2.mat,B,D,2,-1.8603173901527978,-0.02714388089718213
B-D-3.mat,B,D,3,-0.011715821101861678,-0.18749919170605028
C-A-1.mat,C,A,1,3.9400409050724154,-1.4797948244393557
C-A-2.mat,C,A,2,4.737298791083786,-1.741373218214938
C-A-3.mat,C,A,3,3.5910551801630883,-1.4030123044858582
C-B-1.mat,C,B,1,3.5569555236623844,-1.6191571421769306
C-B-2.mat,C,B,2,3.4015978649020036,-1.3158229753282953
C-B-3.mat,C,B,3,3.961973693802337,-1.6315083221338154
C-C-1.mat,C,C,1,2.1553608120598557,-1.4666699232301599
C-C-2.mat,C,C,2,1.9902249851505895,-1.2804699304396248
C-C-3.mat,C,C,3,2.190879088663545,-1.1158296173737492
C-D-1.mat,C,D,1,2.097177305928226,-1.1258868381902187
C-D-2.mat,C,D,2,2.53733803883325,-1.2443403147746457
C-D-3.mat,C,D,3,2.269394278943241,-1.092373763401812
H-A-1.mat,H,A,1,-2.029342360395899,-0.018464882808955783
H-A-2.mat,H,A,2,-2.0403398756981805,-0.008853301580148463
H-A-3.mat,H,A,3,-1.8969532619063523,-0.07827934932140322
H-B-1.mat,H,B,1,-1.962561140958968,-0.03395485186113084
H-B-2.mat,H,B,2,-2.065653485662953,0.025270688169676588
H-B-3.mat,H,B,3,-1.9685287176244455,-0.030315425080615254
H-C-1.mat,H,C,1,-1.959064494332619,-0.036963953556801425
H-C-2.mat,H,C,2,-2.0199702870759277,-0.0033932701560572616
H-C-3.mat,H,C,3,-1.93395738913351,-0.06653795941519337
H-D-1.mat,H,D,1,-1.9758876841584299,-0.02367216595899317
H-D-2.mat,H,D,2,-2.101739504793457,0.04110045625846927
H-D-3.mat,H,D,3,-1.8408072866016758,0.04428664786876851
I-A-1.mat,I,A,1,2.8150327974340317,10.013669213885963
I-A-2.mat,I,A,2,2.1712909636945827,1.1108075207403099
I-A-3.mat,I,A,3,1.7712562254631974,1.0445606645950076
I-B-1.mat,I,B,1,2.167913060006538,0.425262366047183
I-B-2.mat,I,B,2,1.8773049277767777,0.8305247220493428
I-B-3.mat,I,B,3,2.5595704953041696,0.9921072909111769
I-C-1.mat,I,C,1,2.815192244619599,0.9819980953118744
I-C-2.mat,I,C,2,1.699766931543051,0.9477361400846392
I-C-3.mat,I,C,3,1.0954667170453247,0.6361395128628048
I-D-1.mat,I,D,1,2.525574367678878,0.8124780518709147
I-D-2.mat,I,D,2,2.475950362879361,0.8662701926154165
I-D-3.mat,I,D,3,2.3576751128278635,0.8813216699403172
O-A-1.mat,O,A,1,-1.7479469051722962,-0.20447322363759168
O-A-2.mat,O,A,2,-1.908902311262685,-0.019889769329147544
O-A-3.mat,O,A,3,-1.7738585996786196,-0.09169815841122615
O-B-1.mat,O,B,1,-1.918207704703548,-0.026148210730274412
O-B-2.mat,O,B,2,-1.904369596697669,-0.03738934746295373
O-B-3.mat,O,B,3,-1.7097077873901116,-0.11911411036863112
O-C-1.mat,O,C,1,-1.953046819195443,-0.03318540172081189
O-C-2.mat,O,C,2,-1.8455494493514921,-0.10839413192575173
O-C-3.mat,O,C,3,-1.841516419997872,-0.12664350386482717
O-D-1.mat,O,D,1,-1.762293504097142,-0.10472865970797027
O-D-2.mat,O,D,2,-1.9302060552858193,-0.06114525154331233
O-D-3.mat,O,D,3,-1.7604265458699517,-0.1374187682189438
