,mean,mean,mean,mean,std,std,std,std,rms,rms,rms,rms,peak_to_peak,peak_to_peak,peak_to_peak,peak_to_peak,skewness,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis,kurtosis,max_abs,max_abs,max_abs,max_abs,crest_factor,crest_factor,crest_factor,crest_factor
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRG_BF,-0.00311110118745605,0.001238575739004916,-0.0039628965436299,-0.0013201516426562,0.2656947978156385,0.09503098504643245,0.1682505400109949,0.3919799849933751,0.26571390328817074,0.09503573207184499,0.1682557191133514,0.3919995697794448,6.58465,2.195956918976327,3.5509,8.3518,0.034312971743088005,0.05347432885815456,-0.0362248855689124,0.0845293936382941,12.039919077375608,6.536322157101136,7.342584576801791,21.502382554159304,3.3512,1.1084673412720225,1.8206,4.2137,12.927394599812022,3.82425493298635,10.507664593401262,18.60650762583249
BRG_CF,-0.0017600502702368,0.0033454694920559665,-0.0036277725393147,0.0032516056446696,0.16817336743480366,0.05845695223165643,0.1013549394490343,0.243862829028451,0.16821015003050926,0.05844690229351928,0.1014070840226947,0.2438898114217905,2.34205,0.9727198586095245,1.1442,3.4707,0.006176811284377825,0.015255228718424578,-0.0163260707054582,0.0175730713168273,0.8509131041891597,1.0749507589456642,0.1652017871955116,2.4497630230481926,1.21616,0.48116460773142217,0.61354,1.7397,7.140249663382671,1.214893601157523,6.0502676505587205,8.837269228120572
BRG_IO,-0.0040016860771845,0.0011499012378271074,-0.0050840048240792,-0.0025953736134137,0.21294779454096488,0.07501702408032346,0.1240939294548218,0.3071465217676486,0.2129887650758694,0.07501306351848205,0.1241445581052484,0.3071837488695042,5.726825000000001,2.758073955226727,2.9578,8.766100000000002,0.12322913414319847,0.10438572581200002,-0.0266015238288422,0.2068338206256792,13.46945847686608,6.64762082969004,5.992963885796257,21.757061889802305,3.01425,1.4451880627332443,1.5087,4.3859,14.02363610098024,4.575694979981016,9.44965484421488,20.21434813032492
BRG_IR,0.000351800679548975,0.002556695752318267,-0.0015599696661015,0.0038995912936045,0.23859182092673775,0.143673482904413,0.0906267235462188,0.4352555527110393,0.23861494931167676,0.1436455894630089,0.0907105828058663,0.4352580475839963,8.334299999999999,4.648658245845425,2.5832,12.7857,0.046375781045372794,0.2326518952300391,-0.3019787542375038,0.1761250491005072,45.78343760687721,32.030324634223895,20.657852651032385,92.74423026786012,4.25445,2.3596354414753704,1.3558,6.4265,18.09488596685933,5.59466828263322,14.764804546801196,26.42890768601491
BRG_OR,-0.002403245781237875,0.0007490463264802797,-0.0031369747097643,-0.0015831171181613,0.14799467767726093,0.05180144905914197,0.0898116254658703,0.2148374762507557,0.14801643264464176,0.05179831753387625,0.0898255772518696,0.2148464391132224,1.95985,0.6076989742737218,1.1454,2.5031,0.037658214899479674,0.029972210433452266,0.0170794839218141,0.0821531426076323,0.8972182505579458,1.3314962437228024,0.1270581681839173,2.890551818873023,1.021105,0.3234125540234949,0.57362,1.2748,7.011842405123183,1.487043752023921,5.93354027770593,9.21065349941051
GBX_BT,-0.001787154511155375,0.0011211415526482065,-0.0024582484889507,-0.0001147466646849,0.23202708192035293,0.11924040765321392,0.1085877786936782,0.3940514013048571,0.23204027306913586,0.11922930943626284,0.1086156004782953,0.3940514180118106,4.2268875,1.903298989638342,1.79815,5.9941,0.00025860825842232495,0.015023009518655926,-0.0123132070870404,0.0218648442182547,2.9856692148609145,2.455681456679038,1.0704998441899312,6.365231661833679,2.1821375,0.9738789618282482,0.95885,3.0555,9.628558920552763,2.10113307216358,7.754064216838879,12.62614968023163
GBX_EG,-0.0031840717254687,0.0011661632418040588,-0.0048744904324445,-0.0023150330719601,0.15853348963195518,0.058022003847701946,0.089775465770368,0.2317546837317093,0.1585700191713144,0.058017116072806324,0.0898053096003282,0.231774465050555,1.93152,0.6616988847907584,1.08926,2.5166,-0.015278424124099,0.03779328626799363,-0.0706543311023636,0.0097082629535789,0.6907344210124966,0.8956821251125626,0.1438657330388091,2.029808408792209,1.02772,0.36367725224434916,0.57081,1.3815,6.596999909907862,1.5238109959839508,5.388427925947699,8.804445211523499
GBX_WR,0.025367704270213648,0.02856617200251699,0.0045387542539265,0.0672779408017801,0.1854648950425343,0.08754743227977402,0.0983238160614844,0.3070679486992704,0.19099367797692007,0.0810152001966057,0.1191381304344686,0.3072512203336732,3.3637474999999997,1.351151642744687,1.78799,4.8389,-0.0028089202679238245,0.032408771416360595,-0.041545987584458,0.0340566929082216,2.402534670759655,2.390765134313194,0.6928296147091677,5.944452535298673,1.75495,0.6860436550735431,1.0025,2.5212,9.358067865327982,2.270487581407288,8.055381592126633,12.756624358445244
MIX_IB,0.0355010159580699,0.05732949441644692,-0.0001926711095209,0.1210109737885058,0.20998659520595134,0.06283073507717826,0.1477605732134384,0.2974426096894267,0.22094866148033399,0.051148938608472444,0.1909891168983362,0.2975140428175176,3.984075,1.0519058810083717,2.7537000000000003,5.223599999999999,0.0244133638067451,0.08391043869259236,-0.0292207539048912,0.1496409591012838,1.7188527000429579,1.1243216610862665,1.0359589227832684,3.39951320298498,2.09095,0.47808150978677255,1.614,2.6982,9.501956278242734,1.186828018446971,8.450743299991982,11.20108565293331
MIX_II,-0.0044888286942411995,0.0007915294597081278,-0.005465556750171,-0.0035290615287023,0.15802041421810992,0.061178069328347726,0.0928396234768375,0.240639649300074,0.15809353502681606,0.061150874506218235,0.0929499058351523,0.2406804994402307,1.9746050000000002,0.7155608309337976,1.1087,2.7213000000000003,-0.021045304510370424,0.02940101969811361,-0.0650189511327377,-0.0032926447466638,0.8843342850146976,0.9744606237415088,0.2948141015897993,2.330023772750936,1.0416,0.36301027891782905,0.61427,1.3955,6.706894751640865,1.2767461628808703,5.79814319500592,8.542270044398261
MIX_IS,0.008247509408888375,0.015184455121437518,-0.0014717811994636,0.030572832885838,0.09497012422757978,0.033359278393055934,0.0687779711812392,0.1436126200499286,0.09663327028566088,0.031768198570904606,0.0752669079375043,0.143617361210796,1.4209725,0.4429285782437164,0.9265,1.8712,0.010570048496269576,0.07161092544607724,-0.0433154759233534,0.1158576195741389,1.4536685046156905,2.076796372221483,0.1195278951479665,4.539457956641571,0.7581025,0.2356659538944903,0.48725,0.98677,8.038206424075168,2.3724270792989555,6.473628495600927,11.565522211319747
MIX_OB,-0.0030169406106791996,0.002333909708622852,-0.0052271250291026,-0.0007434265622123,0.2108692769813134,0.08072641285106041,0.121011732850263,0.3172975362466463,0.2109111717195281,0.08068938136592582,0.1211077429680779,0.3172984071678351,4.0649999999999995,1.1670367060779767,2.6011,5.0641,0.0004984339563827997,0.038449792159105656,-0.0390212039604344,0.053195718756187,2.211163399664581,1.6458932755458011,0.8045927008860732,4.536073145620353,2.128275,0.6407939521926425,1.3776,2.7631,10.499449344523638,2.4247609049816785,8.02336205442531,13.47456958489755
MIX_OI,-0.0045178192485604,0.0011453673116756827,-0.0061025081389442,-0.0036417765132446,0.17954197544656045,0.06741800861707478,0.102741476351066,0.2670955612333868,0.17960088239395355,0.06742036779744635,0.1028085484656248,0.2671652661484344,2.0582175,0.7223452820904509,1.0642,2.6765,0.038360963492501725,0.03326831118235017,0.015619591136439,0.0878162383364457,0.5764751288001103,0.8963454482854711,0.094193723537101,1.920420655551407,1.0776025,0.38553297052046454,0.53931,1.3958,6.032305950906569,1.135547886656979,5.224481535801541,7.643794258432789
MIX_OS,-0.0033125930476404753,0.0016397948638811099,-0.0048066561886107,-0.0011752872411969,0.11856867490574982,0.029531066155818367,0.0829939823418593,0.1549279677865716,0.11863399683337787,0.029474471068230083,0.0831330562933685,0.1549324256008931,1.4748999999999999,0.22556216245933927,1.17431,1.67712,0.0651034052238441,0.03417949804875062,0.0161319308348788,0.0930306224022384,0.738321271116288,0.5721864729895383,0.31860129880023,1.575086735366856,0.78317,0.11323665984712432,0.6289,0.8868,6.749486084853677,0.8736521174607172,5.72378568631206,7.56498110427545
NOR,0.0037700579162764127,0.008064365632400226,-0.0046906679548778,0.0172799637234316,0.1867334142552171,0.1402953494676307,0.0788845212625406,0.5073728050171519,0.18692924515157527,0.1402869725508612,0.0789867893072575,0.507666977867633,2.6854625,1.5489354453647002,1.1560700000000002,5.7867,0.0066489081270736375,0.019116265237914522,-0.0259479182222755,0.0373566528279985,1.5656402053168048,1.4778373993621228,0.3727792516318731,4.543453863408073,1.3933,0.8097736244690328,0.58104,3.0336,7.915802184413395,1.5806904529779908,5.975570860925621,10.24129217552676
