fault,1200rpm,1800rpm,200-2400-200,2400rpm
BRG_BF,3.5509,6.4,8.3518,8.0359
BRG_CF,1.1442,2.1242,2.6291,3.4707
BRG_IO,2.9578,3.8771,7.3063,8.766100000000002
BRG_IR,2.5832,6.6288,11.3395,12.7857
BRG_OR,1.1454,1.8581,2.3328,2.5031
GBX_BT,1.79815,3.6557,5.4596,5.9941
GBX_EG,1.08926,1.72192,2.5166,2.3983
GBX_WR,1.78799,2.7766,4.0515,4.8389
MIX_IB,2.7537000000000003,3.6126,4.3464,5.223599999999999
MIX_II,1.1087,1.70132,2.3671,2.7213000000000003
MIX_IS,0.9265,1.17817,1.70802,1.8712
MIX_OB,2.6011,3.6506,5.0641,4.9442
MIX_OI,1.0642,1.99667,2.4955,2.6765
MIX_OS,1.17431,1.43312,1.61505,1.67712
NOR,1.9859350000000002,2.277195,2.4380699999999997,4.040649999999999
