dataset_id,dataset_label,dataset_name,fault_code,source_file,channel_idx,dominant_freq_hz,fft_period_samples,autocorr_period_samples,autocorr_period_ms,chosen_period_samples,chosen_period_ms,linear_trend_slope,rolling_rms_slope,n_samples_analyzed
1,D1,D1_BearingTV,BRG_BF,data/raw/dataset_1/B-A-1.mat,0,1708.9843749999998,117.02857142857144,120.0,0.6,120.0,0.6,-1.4210694360474793e-06,0.0013900818432084016,50000
1,D1,D1_BearingTV,BRG_CF,data/raw/dataset_1/C-A-1.mat,0,927.7343749999999,215.57894736842107,21.0,0.10500000000000001,21.0,0.10500000000000001,-5.720325519495342e-08,0.0011483310162403928,50000
1,D1,D1_BearingTV,BRG_IR,data/raw/dataset_1/I-A-1.mat,0,4833.984374999999,41.373737373737384,124.0,0.62,124.0,0.62,-2.84386496517594e-06,-0.0001307804483377458,50000
1,D1,D1_BearingTV,BRG_OR,data/raw/dataset_1/O-A-1.mat,0,4980.468749999999,40.156862745098046,40.0,0.2,40.0,0.2,1.6222008667684606e-06,-0.0007225046505458975,50000
1,D1,D1_BearingTV,NOR,data/raw/dataset_1/H-A-1.mat,0,4980.468749999999,40.156862745098046,120.0,0.6,120.0,0.6,-9.196553024152988e-07,0.0009058759805182044,50000
2,D2,D2_PlanetaryGB,GBX_BT,data/raw/dataset_2/broken/1/B1_20.MAT,0,4371.09375,10.981233243967829,10.0,0.20833333333333334,10.0,0.20833333333333334,6.898437783594226e-09,0.0009486281658445814,50000
2,D2,D2_PlanetaryGB,GBX_BT,data/raw/dataset_2/broken/1/B1_20.MAT,1,890.625,53.89473684210526,10.0,0.20833333333333334,10.0,0.20833333333333334,4.173427826902375e-07,0.002302373946948156,50000
2,D2,D2_PlanetaryGB,GBX_BT,data/raw/dataset_2/broken/1/B1_20.MAT,2,23.4375,2048.0,2405.0,50.104166666666664,2405.0,50.104166666666664,-3.0640684329196324e-07,-0.0007771236343396933,50000
2,D2,D2_PlanetaryGB,GBX_BT,data/raw/dataset_2/broken/1/B1_20.MAT,3,46.875,1024.0,4811.0,100.22916666666666,4811.0,100.22916666666666,5.07108190421068e-07,0.0001869439532124133,50000
2,D2,D2_PlanetaryGB,GBX_MT,data/raw/dataset_2/missing_tooth/1/M1_20.MAT,0,9117.1875,5.26478149100257,10.0,0.20833333333333334,10.0,0.20833333333333334,-5.123739077628178e-07,0.002078977069948418,50000
2,D2,D2_PlanetaryGB,GBX_MT,data/raw/dataset_2/missing_tooth/1/M1_20.MAT,1,996.09375,48.188235294117646,10.0,0.20833333333333334,10.0,0.20833333333333334,-8.124604426938329e-08,0.0013367083098362491,50000
2,D2,D2_PlanetaryGB,GBX_MT,data/raw/dataset_2/missing_tooth/1/M1_20.MAT,2,23.4375,2048.0,2405.0,50.104166666666664,2405.0,50.104166666666664,-1.2496676191334882e-06,-0.0010435596907622346,50000
2,D2,D2_PlanetaryGB,GBX_MT,data/raw/dataset_2/missing_tooth/1/M1_20.MAT,3,46.875,1024.0,4810.0,100.20833333333333,4810.0,100.20833333333333,1.5222926953807958e-06,9.34628965215233e-06,50000
2,D2,D2_PlanetaryGB,GBX_RC,data/raw/dataset_2/root_crack/1/R1_20.MAT,0,12000.0,4.0,11.0,0.22916666666666666,11.0,0.22916666666666666,-2.57163865758568e-08,0.0030396512565368248,50000
2,D2,D2_PlanetaryGB,GBX_RC,data/raw/dataset_2/root_crack/1/R1_20.MAT,1,890.625,53.89473684210526,110.0,2.2916666666666665,110.0,2.2916666666666665,5.575536664077716e-07,0.0022367050528402403,50000
2,D2,D2_PlanetaryGB,GBX_RC,data/raw/dataset_2/root_crack/1/R1_20.MAT,2,23.4375,2048.0,2406.0,50.125,2406.0,50.125,-8.037226341083215e-07,-0.0005363836709915573,50000
2,D2,D2_PlanetaryGB,GBX_RC,data/raw/dataset_2/root_crack/1/R1_20.MAT,3,46.875,1024.0,4812.0,100.25,4812.0,100.25,9.282155697996443e-07,0.00016937536838495208,50000
2,D2,D2_PlanetaryGB,GBX_WR,data/raw/dataset_2/wear/1/W1_20.MAT,0,11.71875,4096.0,10.0,0.20833333333333334,10.0,0.20833333333333334,-4.060841833870346e-06,8.721039695595183e-05,50000
2,D2,D2_PlanetaryGB,GBX_WR,data/raw/dataset_2/wear/1/W1_20.MAT,1,878.90625,54.61333333333334,10.0,0.20833333333333334,10.0,0.20833333333333334,-2.0824207550829558e-07,-0.001995046808928774,50000
2,D2,D2_PlanetaryGB,GBX_WR,data/raw/dataset_2/wear/1/W1_20.MAT,2,23.4375,2048.0,2405.0,50.104166666666664,2405.0,50.104166666666664,-1.226892735987032e-07,0.00035299085355956235,50000
2,D2,D2_PlanetaryGB,GBX_WR,data/raw/dataset_2/wear/1/W1_20.MAT,3,46.875,1024.0,4809.0,100.1875,4809.0,100.1875,-8.012560606640752e-07,0.00039115456493521683,50000
2,D2,D2_PlanetaryGB,NOR,data/raw/dataset_2/healthy/1/N1_20.MAT,0,12000.0,4.0,11.0,0.22916666666666666,11.0,0.22916666666666666,-3.9835465933549575e-07,-0.00033873925016894866,50000
2,D2,D2_PlanetaryGB,NOR,data/raw/dataset_2/healthy/1/N1_20.MAT,1,878.90625,54.61333333333334,109.0,2.2708333333333335,109.0,2.2708333333333335,3.032106678733459e-07,-0.00031740052677105605,50000
2,D2,D2_PlanetaryGB,NOR,data/raw/dataset_2/healthy/1/N1_20.MAT,2,23.4375,2048.0,2405.0,50.104166666666664,2405.0,50.104166666666664,-1.1919647807295888e-06,-0.0010082113419710302,50000
2,D2,D2_PlanetaryGB,NOR,data/raw/dataset_2/healthy/1/N1_20.MAT,3,46.875,1024.0,9620.0,200.41666666666666,9620.0,200.41666666666666,5.930729950412622e-07,-0.0002647490694031788,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,0,4.8828125,2048.0,4160.0,416.0,4160.0,416.0,-6.321228401932673e-06,0.0009399996127853081,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,1,3125.0,3.2,3.0,0.3,3.0,0.3,6.24494828057662e-05,0.005980928189656271,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,2,117.1875,85.33333333333333,92.0,9.2,92.0,9.2,-3.1365883222728594e-08,0.024428683701217205,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,3,141.6015625,70.62068965517241,64.0,6.4,64.0,6.4,5.982761640908487e-08,0.028960635123649606,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,4,3122.55859375,3.202501954652072,3.0,0.3,3.0,0.3,1.1528250717291206e-07,0.019023162049948205,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,5,703.125,14.222222222222221,13.0,1.3,13.0,1.3,-4.104663483481894e-08,0.03297544423131779,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,6,139.16015625,71.85964912280701,15.0,1.5,15.0,1.5,-1.8312457100782384e-08,0.03433700967791161,50000
4,D4,D4_MultiModeGB,GBX_BT,data/raw/dataset_4/teeth_break_H_speed_circulation_10Nm-1000rpm.csv,7,117.1875,85.33333333333333,29.0,2.9,29.0,2.9,-1.8099949001112181e-09,0.026611247465180586,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,0,4.8828125,2048.0,4352.0,435.2,4352.0,435.2,4.416160266768116e-06,0.015464585309079414,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,1,3125.0,3.2,3.0,0.3,3.0,0.3,6.276448628602372e-05,0.006832028578038322,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,2,319.82421875,31.267175572519083,93.0,9.299999999999999,93.0,9.299999999999999,6.323467206862088e-08,0.02655789160917822,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,3,329.58984375,30.340740740740742,29.0,2.9,29.0,2.9,-6.932538959325965e-08,0.027518437443419176,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,4,3122.55859375,3.202501954652072,3.0,0.3,3.0,0.3,-1.8005176578958595e-08,0.01964774338522977,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,5,756.8359375,13.212903225806452,13.0,1.3,13.0,1.3,5.930485451993065e-08,0.0329066298683433,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,6,134.27734375,74.47272727272727,15.0,1.5,15.0,1.5,-4.5801097880473545e-08,0.030715373808751747,50000
4,D4,D4_MultiModeGB,GBX_CK,data/raw/dataset_4/teeth_crack_H_speed_circulation_10Nm-1000rpm.csv,7,126.953125,78.76923076923077,67.0,6.7,67.0,6.7,-6.700579210519663e-08,0.023579789252086713,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,0,4.8828125,2048.0,3206.0,320.6,3206.0,320.6,-2.4150766473195305e-06,0.0058460840484255905,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,1,3125.0,3.2,3.0,0.3,3.0,0.3,5.966067827588434e-05,0.004445164760248627,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,2,117.1875,85.33333333333333,92.0,9.2,92.0,9.2,-2.1712366952460836e-08,0.019038025409561656,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,3,329.58984375,30.340740740740742,151.0,15.100000000000001,151.0,15.100000000000001,1.1347474469816291e-07,0.022560386843828835,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,4,3120.1171875,3.2050078247261347,3.0,0.3,3.0,0.3,6.263838330616465e-08,0.016970687939259852,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,5,712.890625,14.027397260273972,13.0,1.3,13.0,1.3,1.3109528313122454e-08,0.029739019624024893,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,6,141.6015625,70.62068965517241,16.0,1.6,16.0,1.6,1.6035932129460036e-08,0.029198346935884044,50000
4,D4,D4_MultiModeGB,GBX_MT,data/raw/dataset_4/miss_teeth_speed_circulation_10Nm-1000rpm.csv,7,712.890625,14.027397260273972,29.0,2.9,29.0,2.9,5.384272417640477e-09,0.02472425087952343,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,0,4.8828125,2048.0,3738.0,373.8,3738.0,373.8,-3.4831011499574073e-06,0.003571581855775662,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,1,3125.0,3.2,3.0,0.3,3.0,0.3,5.697997761253318e-05,0.0035152169833659254,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,2,312.5,32.0,29.0,2.9,29.0,2.9,-1.2188679988927742e-08,0.02163848548147045,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,3,336.9140625,29.681159420289855,61.0,6.1000000000000005,61.0,6.1000000000000005,-1.2781798487578595e-08,0.024118037300788348,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,4,3122.55859375,3.202501954652072,3.0,0.3,3.0,0.3,-1.3974136317401566e-08,0.021803270782978213,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,5,747.0703125,13.38562091503268,13.0,1.3,13.0,1.3,-3.291067426973579e-08,0.03664570648484445,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,6,747.0703125,13.38562091503268,15.0,1.5,15.0,1.5,-3.4665125180932593e-08,0.03590286616349427,50000
4,D4,D4_MultiModeGB,GBX_PT,data/raw/dataset_4/gear_pitting_H_speed_circulation_10Nm-1000rpm.csv,7,751.953125,13.2987012987013,28.0,2.8,28.0,2.8,-5.8920012658027125e-08,0.03160259847291255,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,0,4.8828125,2048.0,4170.0,417.0,4170.0,417.0,3.878370117461181e-06,0.01894571328201998,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,1,3125.0,3.2,3.0,0.3,3.0,0.3,6.18562540711634e-05,0.00557337489130961,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,2,107.421875,93.0909090909091,93.0,9.299999999999999,93.0,9.299999999999999,-1.06804229265165e-07,0.023230951800865592,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,3,329.58984375,30.340740740740742,61.0,6.1000000000000005,61.0,6.1000000000000005,-1.1403179061990079e-07,0.027654675125165465,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,4,3120.1171875,3.2050078247261347,3.0,0.3,3.0,0.3,-3.829376069728332e-08,0.019095038445934003,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,5,742.1875,13.473684210526315,13.0,1.3,13.0,1.3,-5.540189210919738e-08,0.029515291000127973,50000
4,D4,D4_MultiModeGB,GBX_WR,data/raw/dataset_4/gear_wear_H_speed_circulation_10Nm-1000rpm.csv,6,1245.1171875,8.031372549019608,16.0,1.6,16.0,1.6,-5.431670764048948e-08,0.03214389429856644,50000
